carrera,institucion,titulo_profesional,empleabilidad,ingreso_promedio_4to_año
Diseño,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,Diseñador,"79,80%",S/I
Diseño Gráfico,UNIVERSIDAD DEL BIO-BIO,Diseñador Gráfico,"60,60%",$600 - $700 mil
Diseño,UNIVERSIDAD DE VALPARAISO,Diseñador,S/I,$600 - $700 mil
Diseño Industrial,UNIVERSIDAD DEL BIO-BIO,Diseñador Industrial,"57,60%",$600 - $700 mil
Diseño Gráfico,UNIVERSIDAD DE CHILE,Diseñador(a) Gráfico(a),"77,60%",$800 - $900 mil
Diseño Industrial,UNIVERSIDAD DE CHILE,Diseñador(a) Industrial,"77,60%",$800 - $900 mil
Diseño,IP DE CHILE,Diseñador,"79,00%",S/I
Diseño,UNIVERSIDAD ADOLFO IBAÑEZ,Diseñador ,S/I,S/I
Diseño,UNIVERSIDAD DE TALCA,Diseñador ,"53,80%",S/I
Diseño,UNIVERSIDAD DE VIÑA DEL MAR,Diseñador mención Gráfica,,S/I
Diseño,UNIVERSIDAD DEL DESARROLLO,Diseñador con mención en Gráfico,"72,60%",$800 - $900 mil
Diseño,UNIVERSIDAD DEL DESARROLLO,Diseñador con mención en Interacción Digital,"72,60%",$800 - $900 mil
Diseño,UNIVERSIDAD DEL DESARROLLO,Diseñador con mención en Espacios y Objetos,"72,60%",$800 - $900 mil
Diseño Gráfico,UNIVERSIDAD DIEGO PORTALES,Diseñador Gráfico,"72,70%",$800 - $900 mil
Diseño Industrial,UNIVERSIDAD DIEGO PORTALES,Diseñador Industrial,"72,70%",$800 - $900 mil
Diseño,UNIVERSIDAD FINIS TERRAE,Diseñador con mención en Diseño Gráfico,"53,60%",$800 - $900 mil
Diseño,UNIVERSIDAD FINIS TERRAE,Diseñador con mención en Interior y Equipamiento,"53,60%",$800 - $900 mil
Diseño (NN),UNIVERSIDAD AUSTRAL DE CHILE,,S/I,S/I
"Diseño Crossmedia en Gráfica, Web y Video Digital",UNIVERSIDAD GABRIELA MISTRAL,Diseñador Crossmedia,S/I,S/I
Diseño de Ambiente,IP DUOC UC,Diseñador de Ambientes,"59,40%",$700 - $800 mil
Diseño de Imagen Especialidad Moda,"UNIVERSIDAD DE ARTES, CIENCIAS Y COMUNICACION","Diseñador de Imagen, especialidad en Moda","47,90%",S/I
Diseño Gráfico,"UNIVERSIDAD DE ARTES, CIENCIAS Y COMUNICACION","Diseñador Gráfico, especialidad en Multimedia ","47,90%",S/I
Diseño de Interiores,UNIVERSIDAD DEL PACIFICO,Diseñador de Interiores,"57,70%",$900 mil - $1 millón
Diseño de Juegos Digitales,UNIVERSIDAD ANDRES BELLO,Diseñador de Juegos Digitales,S/I,S/I
Diseño de Moda,IP INACAP,Diseñador de Moda,"59,00%",S/I
Diseño de Muebles y Objetos,UNIVERSIDAD DE LAS AMERICAS,Diseño de Muebles y Objetos,S/I,S/I
Diseño de Vestuario,IP DUOC UC,Diseñador de Vestuario,"63,10%",$600 - $700 mil
Diseño de Vestuario,UNIVERSIDAD DE LAS AMERICAS,Diseñador de Vestuario,S/I,S/I
Diseño de Vestuario Profesional Mención Alta Costura,IP AIEP,Diseñador de Vestuario mención Alta Costura,"42,00%",S/I
Diseño de Vestuario y Textil,UNIVERSIDAD ANDRES BELLO,Diseñador de Vestuario y Textil,S/I,S/I
"Diseño de Vestuario, Moldaje y Confección",CFT DE ENSEÑANZA DE ALTA COSTURA PAULINA DIARD,Técnico de nivel superior en diseño de vestuario.,S/I,S/I
Diseño en Comunicación Visual,UNIVERSIDAD TECNOLOGICA METROPOLITANA,Diseñador en Comunicación Visual,"76,80%",$800 - $900 mil
Diseño Gráfico,IP AIEP,Diseñador Gráfico,S/I,$500 - $600 mil
Diseño Gráfico,IP DUOC UC,Diseñador Gráfico,"58,70%",$600 - $700 mil
Diseño Gráfico,IP SANTO TOMAS,Diseñador Gráfico,"55,70%",$500 - $600 mil
Diseño Gráfico,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,Diseñador Gráfico,"56,80%",S/I
Diseño Gráfico,UNIVERSIDAD ANDRES BELLO,Diseñador Gráfico,"52,00%",$700 - $800 mil
Diseño de Productos,UNIVERSIDAD ANDRES BELLO,Diseñador de Productos,"52,00%",S/I
Diseño Gráfico,UNIVERSIDAD CATOLICA DE TEMUCO,Diseñador Gráfico,"55,00%",S/I
Diseño Industrial,UNIVERSIDAD CATOLICA DE TEMUCO,Diseñador Industrial,"55,00%",S/I
Diseño Gráfico,UNIVERSIDAD DE LAS AMERICAS,Diseñador Gráfico,S/I,S/I
Diseño Gráfico,UNIVERSIDAD DEL PACIFICO,Diseñador Gráfico,"67,40%",$800 - $900 mil
Diseño Gráfico Computacional,CFT ICEL,Técnico de Nivel Superior en Diseño Gráfico Computacional,S/I,S/I
Diseño Gráfico Profesional,IP AIEP,Técnico de Nivel Superior en Diseño Gráfico,S/I,$500-600 mil
Diseño Gráfico Profesional,IP INACAP,Diseñador Gráfico Profesional,S/I,$500 - $600 mil
Diseño Gráfico Publicitario,IP LOS LEONES,Diseñador Gráfico Publicitario,S/I,$500-600 mil
Diseño Gráfico Publicitario,UNIVERSIDAD DE ANTOFAGASTA,Diseñador(a) Gráfico mención Diseño Estratégico,"65,00%",$600-700 mil
Diseño Industrial,IP DUOC UC,Diseñador Industrial ,"70,10%",$700 - $800 mil
Diseño Industrial,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,Diseñador Industrial ,"56,80%",S/I
Diseño Industrial,UNIVERSIDAD TECNOLOGICA METROPOLITANA,Diseñador Industrial,"68,20%",$800 - $900 mil
Diseño Mención Comunicación/Equipamiento,UNIVERSIDAD DE LA SERENA,Diseñador con mención en Comunicación/Equipamiento,"51,60%",S/I
Diseño Mención Industrial/Gráfico/Ambientes,UNIVERSIDAD MAYOR,"Diseñador con Mención: Gráfico, Industrial, Ambientes","64,60%",$800 - $900 mil
Diseño Multimedia,UNIVERSIDAD DE TARAPACA,Diseñador Comunicacional Multimedia,S/I,S/I
Diseño Teatral,UNIVERSIDAD DE CHILE,Diseñador Teatral,S/I,S/I
Diseño Vestuario y Textiles,UNIVERSIDAD DEL PACIFICO,Diseñador de Vestuario y Textiles,"56,30%",$700 - $800 mil
Diseño Web & Mobile,CFT INACAP,Técnico de Nivel Superior en Diseño Web & Mobile,S/I,S/I
Diseño y Producción Gráfica,CFT INACAP,Técnico de Nivel Superior en Diseño Gráfico,S/I,S/I
Técnico en Diseño Publicitario Multimedial,IP SANTO TOMAS,Técnico de Nivel Superior en Diseño Digital y Publicitario,S/I,S/I
Tecnólogo en Diseño Industrial,UNIVERSIDAD DE SANTIAGO DE CHILE,Tecnólogo en Diseño Industrial,"66,70%",$700 - $800 mil
