carrera,institucion,arancel_anual,numero_matriculados,procentaje_retencion_primero,porcentaje_procedencia_subvencionado
"Diseño de Vestuario, Moldaje y Confección",CFT DE ENSEÑANZA DE ALTA COSTURA PAULINA DIARD,749.000,80,—,48
Diseño Gráfico Computacional,CFT ICEL,919.000,61,—,72
Diseño Gráfico Computacional,CFT ICEL,919.000,-,—,72
Diseño y Producción Gráfica,CFT INACAP,2.090.000,38,62,94
Diseño y Producción Gráfica,CFT INACAP,1.942.000,29,62,94
Diseño y Producción Gráfica,CFT INACAP,1.890.000,59,62,94
Diseño y Producción Gráfica,CFT INACAP,1.876.000,73,94,94
Diseño y Producción Gráfica,CFT INACAP,1.876.000,33,94,94
Diseño y Producción Gráfica,CFT INACAP,1.876.000,25,94,94
Diseño y Producción Gráfica,CFT INACAP,1.812.000,21,94,94
Diseño y Producción Gráfica,CFT INACAP,1.812.000,22,94,94
Diseño Web & Mobile,CFT INACAP,1.626.000,-,—,52
Diseño y Producción Gráfica,CFT INACAP,1.620.000,46,94,94
Diseño y Producción Gráfica,CFT INACAP,1.582.000,30,94,94
Diseño y Producción Gráfica,CFT INACAP,1.556.000,34,94,94
Diseño Gráfico,IP AIEP,1.600.000,69,65,95
Diseño Gráfico,IP AIEP,1.450.000,67,74,95
Diseño Gráfico,IP AIEP,1.450.000,89,74,95
Diseño Gráfico,IP AIEP,1.400.000,43,74,95
Diseño Gráfico,IP AIEP,1.390.000,81,74,95
Diseño de Vestuario Profesional Mención Alta Costura,IP AIEP,1.800.000,186,64,90
Diseño Gráfico Profesional,IP AIEP,1.730.000,198,65,95
Diseño Gráfico Profesional,IP AIEP,1.730.000,134,65,95
Diseño Gráfico Profesional,IP AIEP,1.700.000,106,65,95
Diseño Gráfico Profesional,IP AIEP,1.440.000,29,74,95
Diseño Gráfico Profesional,IP AIEP,1.420.000,68,74,95
Diseño,IP DE CHILE,1.152.000,-,—,—
Diseño Gráfico,IP DUOC UC,2.280.000,394,57,89
Diseño de Vestuario,IP DUOC UC,2.200.000,344,73,78
